field_1,V1,Объек,Номер,назва,Комме,Идент,FiasAuxSub,FiasAuxObj,Иден_1,Иден_2,Иден_3,Иден_4,Иден_5,Иден_6,Иден_7,Иден_8,Иден_9,Полны,На ка�,Id-Рег�,Регио,учетн,Id-Кат�,Катег,Id-Тип,Тип о�,Id-Вид,Вид о�,описа,текст,Id-общ�,Id-При�,Прина,Id-Осо�,Особо,идент,дата �,GeoId,X,Y,наиме,Изобр,зоны �,Items,Id - ид�,призн,приз_1,год п�,год п�_1,парам,относ,катег,дата_1,дата �_1,address,lat,lon,raw,longitude,latitude
369,372,Дом А.И. Васильевой,631610884030005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Степана Разина, 87, литеры А, А1, А2",,63,Самарская область,63-95709,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание двухэтажное, кирпичное, Г-образное в плане,  - конфигурация, га",1-2 Граница участка начинается от т.1 и проходит в дворовой части здания в юго-западном направлении в сторону   ул. Ленинградской к т.2  2-3 Дале�,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1883 год,NA,50.088450000000002,53.190130000000003,"[{""""""""name"""""""":""""""""Постановление Правительства Самарской области О включении в единый государственный реестр объектов культурного наследия (пам�","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1987973"""""""",""""""""title"""""""":""""""""1987973""""""""}",,,235012,1,NA,"2014",NA,NA,/cdm/v2/heritages/1/235012,heritage,NA,2023-07-31 10:01:55,"Самарская область, г. Самара, ул. Степана Разина, 87, литеры А, А1, А2",53.190130000000003,50.088450000000002,,NA,NA
370,373,Дом на усадьбе Е.И. Плошкиной,631611291430005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, д. 70-72, литера А",,63,Самарская область,63-95710,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание двухэтажное, смешанной конструкции (первый этаж – кирпичный,",1-2 от начальной т.1 на северо-восток через т.2-3 до т.4   на расстоянии 47 м граница проходит по асфальтированному тротуару  2-3 от т.4 поворачивает,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1898-1902 гг.,NA,50.100349999999999,53.188139999999997,"[{""""""""name"""""""":""""""""Постановление Правительства Самарской области «О включении в единый государственный реестр объектов культурного наследия (па�","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1988115"""""""",""""""""title"""""""":""""""""1988115""""""""}",,,235013,1,NA,"2014",NA,NA,/cdm/v2/heritages/1/235013,heritage,NA,2023-01-27 06:39:05,"Самарская область, г. Самара, ул. Некрасовская, д. 70-72, литера А",53.188139999999997,50.100349999999999,,NA,NA
371,374,Дом Лаптева,631610638620005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Степана Разина, 49",,63,Самарская область,63-95762,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание трехэтажное с подвалом, Г-образное в плане, с аркой проезда,  -","Границы территории объекта культурного наследия (далее – ОКН) описываются 16-ю точками и начинаются в северной т.1, расположенной на обрезе","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1840 - 1890 гг.,NA,50.085020000000000,53.184970000000000,"[{""""""""name"""""""":""""""""Решение исполнительного комитета Куйбышевского областного совета народных депутатов «О выполнении закона РСФСР «Об охране и и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1990611"""""""",""""""""title"""""""":""""""""1990611""""""""}","Объект расположен в границах зоны охраны объекта культурного наследия федерального значения """"""""Здание Окружного суда, в котором в 1892-1893 гг",,235014,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/235014,heritage,NA,2023-10-11 07:10:36,"Самарская область, г. Самара, ул. Степана Разина, 49",53.184970000000000,50.085020000000000,,NA,NA
372,375,Дом Юрина,631610638630005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Степана Разина, 52",,63,Самарская область,63-95772,2,Регионального значения,NA,NA,1,Памятник,,Границы территории объекта культурного наследия (далее – ОКН) описываются 6-ю точками (идет по обрезу фундамента здания по адресу   ул. Степ,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1889 - 1890 гг.,NA,50.084040000000002,53.184539999999998,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов «О выполнении Закона РСФСР «Об охране и и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1990764"""""""",""""""""title"""""""":""""""""1990764""""""""}",Границы зоны регулирования застройки и хозяйственной деятельности описываются 9-ю точками (очерчивает дворовую территорию здания по адре,,235015,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/235015,heritage,NA,2022-10-12 14:10:06,"Самарская область, г. Самара, ул. Степана Разина, 52",53.184539999999998,50.084040000000002,,NA,NA
373,376,Жилой дом,631610640510005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Молодогвардейская, 98/ Некрасова, 55",,63,Самарская область,63-95416,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - литера А - здание трехэтажное, кирпичное, Г-образной формы в плане, ра",1-2 от начальной т.1 на северо-восток до т.2 на расстоянии 40 м граница проходит по соседним зданиям  2-3 от т.2 поворачивает и идет на юго-восток ч,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,нач. XX в.,NA,50.096899999999998,53.188380000000002,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов «О выполнении Закона РСФСР «Об охране и и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1984065"""""""",""""""""title"""""""":""""""""1984065""""""""}",,,235192,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/235192,heritage,NA,2023-11-03 12:58:14,"Самарская область, г. Самара, ул. Молодогвардейская, 98/ Некрасова, 55",53.188380000000002,50.096899999999998,,NA,NA
374,377,Жилой дом на усадьбе С.С. Арочкина,631610640520005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, 33, литера А",,63,Самарская область,63-95421,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание двухэтажное, кирпичное, прямоугольное в плане, с ризалитами, �",1-2 Начинается в т.1 и проходит по красной линии застройки   ул. Некрасовской до т.2  2-3 Далее граница от т.2 проходит вглубь квартала в сторону,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1877 г.,NA,50.093620000000001,53.189410000000002,"[{""""""""name"""""""":""""""""Постановление Правительства Самарской области"""""""",""""""""number"""""""":""""""""721"""""""",""""""""date"""""""":""""""""2014-11-25""""""""}]","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1984463"""""""",""""""""title"""""""":""""""""1984463""""""""}",,,235193,1,NA,"2014",NA,NA,/cdm/v2/heritages/1/235193,heritage,NA,2023-08-07 06:05:20,"Самарская область, г. Самара, ул. Некрасовская, 33, литера А",53.189410000000002,50.093620000000001,,NA,NA
375,378,Жилой дом на усадьбе Н.Т. Дуравина,631610640530005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, д. 39, литеры А,А1,А2",,63,Самарская область,63-95427,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание двухэтажное с подвалом, кирпичное, Г-образное в плане,   с прим",1-2 Граница территории начинается в т.1 и проходит по красной линии застройки ул. Некрасовской до т.2  2-3 Далее от т.2 граница проходит вглубь к�,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1890-е гг.,NA,50.094520000000003,53.189180000000000,"[{""""""""name"""""""":""""""""Постановление Правительства Самарской области  \""""""""О включении в единый государственный реестр объектов культурного наследия (�","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4827885"""""""",""""""""title"""""""":""""""""4827885""""""""}",,,235194,1,NA,"2014",NA,NA,/cdm/v2/heritages/1/235194,heritage,NA,2023-02-21 12:44:08,"Самарская область, г. Самара, ул. Некрасовская, д. 39, литеры А,А1,А2",53.189180000000000,50.094520000000003,,NA,NA
376,379,Усадьба купца И.А. Журавлева,631620640540005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, 52-54, литеры А, Б",,63,Самарская область,63-87648,2,Регионального значения,NA,NA,2,Ансамбль,,Границы территории объекта культурного наследия установлены на основании исторических домовладений и описываются точками 1-4.,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1891 г.,NA,50.096319999999999,53.189279999999997,"[{""""""""name"""""""":""""""""Постановление Правительства Самарской области \""""""""О включении в единый государственный реестр объектов культурного наследия (п","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4822271"""""""",""""""""title"""""""":""""""""4822271""""""""}","Границы охранной зоны определены следующим образом: территория квартала № 65, ограниченная улицами Некрасовская (по линии застройки нечёт",,235195,1,NA,"2014",NA,NA,/cdm/v2/heritages/2/235195,heritage,NA,2022-11-02 07:11:32,"Самарская область, г. Самара, ул. Некрасовская, 52-54, литеры А, Б",53.189279999999997,50.096319999999999,,NA,NA
377,380,Жилой дом,631610640550005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, 46",,63,Самарская область,63-95443,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание по красной линии улицы Фрунзе трехэтажное с подвалом, кирпич�","Границы территории объекта культурного наследия описываются 34-я точками и начинается в северной т.1, расположенной на обрезе фундамента з�","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1900 г.,NA,50.094389999999997,53.189660000000003,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов «О выполнении Закона РСФСР «Об охране и и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/1984543"""""""",""""""""title"""""""":""""""""1984543""""""""}","Границы охранной зоны, ОЗ описываются 44-я точками и начинаются   в северной т.1, расположенной на обрезе фундамента здания по адресу у. Фрунз",,235196,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/235196,heritage,NA,2023-08-07 06:05:36,"Самарская область, г. Самара, ул. Некрасовская, 46",53.189660000000003,50.094389999999997,,NA,NA
378,381,Жилой дом,631610640560005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Некрасовская, 49",,63,Самарская область,63-95455,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание двухэтажное с подвальным этажом, кирпичное, Г-образное в план",Границы территории объекта культурного наследия (далее – ОКН) описываются 9-ю точками и начинаются в северной т.1. Далее по обрезу фундамен�,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,кон. XIX в.,NA,50.096339999999998,53.188720000000004,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов \""""""""О выполнении Закона РСФСР «Об охране и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4816759"""""""",""""""""title"""""""":""""""""4816759""""""""}",Границы охранной зоны описываются 14-ю точками и начинаются в северной т.1. Далее в юго-восточном направлении до т.2. Далее в юго- западном нап,,235197,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/235197,heritage,NA,2023-08-07 06:03:53,"Самарская область, г. Самара, ул. Некрасовская, 49",53.188720000000004,50.096339999999998,,NA,NA
